subscribed,last_active,channel,device,player_id,tags,country,language_code
Yes,2016-04-29 16:32:20.292449,Web Push (Safari),MacIntel Safari 9.1,0ccacb95-4aaa-4337-a275-5ca75f98af,{},UA,en
No,2018-04-23 21:50:45.395814,Web Push (Chrome),Linux armv8l 65,0f6b0a23-1b4e-48cc-b12c-9d406bcd0d,"{""posts-read"": ""73953"", ""read-tag-partnered"": ""1""}",RU,ru
No,2018-03-29 21:01:09.570577,Web Push (Chrome),Win32 65,0ca0311d-aa4f-45e7-9348-0913195af3,"{""posts-read"": ""7167,7901"", ""read-tag-cpp"": ""1"", ""view-tag-cpp"": ""18"", ""posts-visited"": ""7167,7901"", ""visit-tag-cpp"": ""1"", ""read-tag-crypto"": ""1"", ""view-tag-crypto"": ""1"", ""visit-tag-crypto"": ""1"", ""read-category-translations"": ""1"", ""read-tag-learn-programming"": ""1"", ""view-category-translations"": ""1"", ""view-tag-learn-programming"": ""18"", ""visit-category-translations"": ""1"", ""visit-tag-learn-programming"": ""1""}",RU,ru
Yes,2018-04-03 23:16:24.008510,Web Push (Chrome),Linux armv8l Chrome 65,0e36dcde-4e29-4109-a95c-c0f427a758,"{""posts-read"": ""70043,19648,57336"", ""read-tag-php"": ""1"", ""view-tag-php"": ""1"", ""posts-visited"": ""70043,19648,57336"", ""visit-tag-php"": ""1"", ""read-tag-ethereum"": ""1"", ""read-tag-hardware"": ""1"", ""view-tag-ethereum"": ""1"", ""view-tag-hardware"": ""1"", ""visit-tag-ethereum"": ""1"", ""visit-tag-hardware"": ""1""}",RU,ru
Yes,2018-05-19 16:37:30.414525,Web Push (Chrome),Win32 66,0e3f122c-4061-4f14-8cc9-07f23fdaa9,"{""posts-read"": ""77718"", ""read-tag-middle-problems"": ""1""}",JP,ru
No,2018-03-05 16:15:29.773988,Web Push (Chrome),Win32 18,027c8e13-613a-4d57-a023-d0c4268dc7,"{""posts-read"": ""63976,68826"", ""posts-visited"": ""63976,68826"", ""read-tag-gamedev"": ""1"", ""read-tag-windows"": ""1"", ""view-tag-gamedev"": ""1"", ""view-tag-windows"": ""1"", ""read-tag-security"": ""1"", ""view-tag-security"": ""1"", ""visit-tag-gamedev"": ""1"", ""visit-tag-windows"": ""1"", ""read-tag-microsoft"": ""1"", ""view-tag-microsoft"": ""1"", ""visit-tag-security"": ""1"", ""visit-tag-microsoft"": ""1""}",RU,ru
No,2018-02-07 09:52:24.091697,Web Push (Chrome),Win32 64,01f0b636-6088-44f5-8a64-c7135a5806,"{""posts-read"": ""58174"", ""view-tag-job"": ""1"", ""posts-visited"": ""50694,43829"", ""read-tag-python"": ""1"", ""view-tag-crypto"": ""1"", ""view-tag-python"": ""2"", ""visit-tag-crypto"": ""1"", ""visit-tag-python"": ""2"", ""view-tag-security"": ""1"", ""read-tag-microsoft"": ""1"", ""visit-tag-security"": ""1"", ""view-tag-for-advanced"": ""1"", ""view-tag-for-amateurs"": ""1"", ""view-tag-for-beginners"": ""1"", ""visit-tag-for-advanced"": ""1"", ""visit-tag-for-amateurs"": ""1"", ""visit-tag-for-beginners"": ""1"", ""view-tag-machine-learning"": ""1"", ""visit-tag-machine-learning"": ""1"", ""view-tag-programming-languages"": ""1""}",UZ,en
No,2018-05-19 23:01:00.245720,Web Push (Chrome),Linux armv8l 66,094caad8-3069-4b14-9674-44d8aedd32,"{""posts-read"": ""75939"", ""read-tag-neural-network"": ""1"", ""read-tag-machine-learning"": ""1""}",NL,ru
Yes,2018-03-27 20:12:20.923321,Web Push (Chrome),Win32 64,0d4dfb39-1eb4-4a92-8a3b-d3ebcae318,"{""posts-read"": ""47482"", ""posts-visited"": ""47482"", ""read-tag-javascript"": ""1"", ""view-tag-javascript"": ""2"", ""visit-tag-javascript"": ""1"", ""read-tag-for-amateurs"": ""1"", ""view-tag-for-amateurs"": ""2"", ""visit-tag-for-amateurs"": ""1""}",UA,ru
Yes,2018-05-19 18:12:30.480993,Web Push (Chrome),Win32 18,09325158-40bc-4d60-871d-95489911f5,{},RU,ru
Yes,2018-05-22 05:06:32.339367,Web Push (Chrome),Linux armv7l 66,0a9e47a8-7f29-4bd6-b204-6c2c3da662,"{""posts-read"": ""76918"", ""read-tag-cpp"": ""1""}",RU,ru
No,2018-02-08 21:50:47.257893,Web Push (Chrome),Linux armv7l 64,0a36bd04-5bf6-491a-8f22-5913fdefb9,"{""posts-read"": ""28507,33653,29831,17501"", ""read-tag-cpp"": ""1"", ""read-tag-job"": ""1"", ""view-tag-cpp"": ""1"", ""view-tag-job"": ""1"", ""posts-visited"": ""28507,33653,29831,17501"", ""visit-tag-cpp"": ""1"", ""visit-tag-job"": ""1"", ""read-tag-career"": ""1"", ""read-tag-skills"": ""1"", ""view-tag-career"": ""1"", ""view-tag-skills"": ""1"", ""visit-tag-career"": ""1"", ""visit-tag-skills"": ""1"", ""read-tag-partnered"": ""1"", ""view-tag-partnered"": ""2"", ""visit-tag-partnered"": ""1"", ""read-tag-brain-teasers"": ""1"", ""read-tag-for-beginners"": ""1"", ""read-tag-job-interview"": ""1"", ""view-tag-brain-teasers"": ""1"", ""view-tag-for-beginners"": ""2"", ""view-tag-job-interview"": ""1"", ""read-tag-stack-overflow"": ""1"", ""view-tag-stack-overflow"": ""1"", ""visit-tag-brain-teasers"": ""1"", ""visit-tag-for-beginners"": ""1"", ""visit-tag-job-interview"": ""1"", ""visit-tag-stack-overflow"": ""1""}",UA,ru
Yes,2018-07-05 17:03:23.124210,Web Push (Chrome),Win32 18,0bcb6345-0a97-4bfe-875d-9fe0043d81,{},RU,ru
No,2018-04-03 23:39:25.720073,Web Push (Chrome),Linux aarch64 65,069da13b-7044-43c0-9cf4-686687ca43,"{""view-tag-job"": ""1"", ""posts-visited"": ""26756"", ""visit-tag-job"": ""1"", ""view-tag-job-interview"": ""1"", ""visit-tag-job-interview"": ""1""}",UA,ru
No,2018-05-22 05:10:15.885051,Web Push (Chrome),Win32 66,028779ed-4556-4f63-9c4e-c08c7e3fca,{},RU,ru
Yes,2018-03-26 16:15:03.314023,Web Push (Chrome),Linux armv7l 65,08432cf7-7223-48a8-9a17-6a77bb1416,{},UA,ru
Yes,2018-05-22 05:16:29.272908,Web Push (Chrome),Win32 52,01454397-1560-4f4f-be50-e591aaafe8,{},UZ,ru
Yes,2018-07-13 16:15:41.537537,Web Push (Chrome),Win32 67,03f31cf1-5ab4-4870-b5ed-d7332ee783,"{""posts-read"": ""6082,28018,28507,33512"", ""read-tag-ide"": ""1"", ""view-tag-cpp"": ""1"", ""view-tag-ide"": ""8"", ""posts-visited"": ""28018,28507,9562,33512"", ""visit-tag-cpp"": ""1"", ""visit-tag-ide"": ""1"", ""read-tag-tools"": ""1"", ""view-tag-tools"": ""8"", ""read-tag-regexp"": ""1"", ""view-tag-regexp"": ""1"", ""visit-tag-tools"": ""1"", ""read-tag-testing"": ""1"", ""visit-tag-regexp"": ""1"", ""read-tag-partnered"": ""1"", ""view-tag-partnered"": ""1"", ""view-tag-algorithms"": ""1"", ""visit-tag-partnered"": ""1"", ""read-tag-cheatsheets"": ""1"", ""view-tag-cheatsheets"": ""8"", ""visit-tag-algorithms"": ""1"", ""read-tag-for-amateurs"": ""1"", ""view-tag-optimization"": ""1"", ""visit-tag-cheatsheets"": ""1"", ""read-tag-for-beginners"": ""3"", ""view-tag-brain-teasers"": ""1"", ""view-tag-for-beginners"": ""10"", ""view-tag-job-interview"": ""1"", ""visit-tag-optimization"": ""1"", ""visit-tag-brain-teasers"": ""1"", ""visit-tag-for-beginners"": ""3"", ""visit-tag-job-interview"": ""1"", ""view-tag-expert-problems"": ""1"", ""view-tag-middle-problems"": ""1"", ""view-tag-bit-manipulation"": ""1"", ""visit-tag-expert-problems"": ""1"", ""visit-tag-middle-problems"": ""1"", ""read-tag-learn-programming"": ""1"", ""view-tag-learn-programming"": ""1"", ""view-tag-stacks-and-queues"": ""1"", ""visit-tag-bit-manipulation"": ""1"", ""visit-tag-learn-programming"": ""1"", ""visit-tag-stacks-and-queues"": ""1"", ""view-tag-math-and-probability"": ""1"", ""view-tag-sorting-and-searching"": ""1"", ""visit-tag-math-and-probability"": ""1"", ""visit-tag-sorting-and-searching"": ""1"", ""view-tag-recursion-and-dynamic-programming"": ""1"", ""visit-tag-recursion-and-dynamic-programming"": ""1""}",RU,ru
Yes,2019-03-06 06:25:01.000000,Web Push (Chrome),Win32 72,01e9e7b6-519f-4ee7-8885-d5ddcb0e57,"{""view-tag-diy"": ""2"", ""posts-visited"": ""16515,14781"", ""view-tag-java"": ""2"", ""visit-tag-diy"": ""2"", ""visit-tag-java"": ""2"", ""view-tag-gamedev"": ""2"", ""visit-tag-gamedev"": ""2"", ""view-category-articles"": ""2"", ""visit-category-articles"": ""2"", ""view-tag-learn-programming"": ""2"", ""view-tag-simple-java-games"": ""2"", ""visit-tag-learn-programming"": ""2"", ""visit-tag-simple-java-games"": ""2""}",RU,ru
Yes,2019-03-06 18:55:04.000000,Web Push (Chrome),MacIntel 71,0341c2de-b94b-4c04-a4ec-d320111b49,{},US,en
Yes,2018-05-22 05:56:13.034724,Web Push (Chrome),Win32 52,038d3b18-0071-4f0f-9f51-365c246375,"{""posts-visited"": ""31063"", ""view-tag-python"": ""1"", ""visit-tag-python"": ""1"", ""view-tag-for-beginners"": ""1"", ""visit-tag-for-beginners"": ""1"", ""view-tag-learn-programming"": ""1"", ""visit-tag-learn-programming"": ""1""}",RU,ru
Yes,2018-03-05 20:48:18.525418,Web Push (Chrome),Win32 18,0268929b-277f-4cb3-9934-4e9c186afa,"{""posts-read"": ""13289,28507"", ""posts-visited"": ""28507"", ""read-tag-partnered"": ""1"", ""view-tag-partnered"": ""1"", ""visit-tag-partnered"": ""1"", ""read-tag-for-beginners"": ""1"", ""view-tag-for-beginners"": ""1"", ""visit-tag-for-beginners"": ""1"", ""read-tag-learn-programming"": ""1""}",KZ,ru
Yes,2017-04-21 20:12:23.200937,Web Push (Chrome),Linux x86_64 Chrome 58.0,0a5497fe-c43d-4e14-91e8-fa69018d64,"{""posts-read"": ""9851"", ""view-tag-cpp"": ""1"", ""posts-visited"": ""9562,9851"", ""visit-tag-cpp"": ""1"", ""view-tag-algorithms"": ""1"", ""visit-tag-algorithms"": ""1"", ""view-tag-optimization"": ""1"", ""read-tag-brain-teasers"": ""1"", ""view-tag-brain-teasers"": ""2"", ""view-tag-job-interview"": ""1"", ""visit-tag-optimization"": ""1"", ""visit-tag-brain-teasers"": ""2"", ""visit-tag-job-interview"": ""1"", ""view-tag-expert-problems"": ""1"", ""view-tag-middle-problems"": ""1"", ""view-tag-bit-manipulation"": ""1"", ""visit-tag-expert-problems"": ""1"", ""visit-tag-middle-problems"": ""1"", ""view-tag-stacks-and-queues"": ""1"", ""visit-tag-bit-manipulation"": ""1"", ""visit-tag-stacks-and-queues"": ""1"", ""view-tag-math-and-probability"": ""1"", ""view-tag-sorting-and-searching"": ""1"", ""visit-tag-math-and-probability"": ""1"", ""visit-tag-sorting-and-searching"": ""1"", ""view-tag-recursion-and-dynamic-programming"": ""1"", ""visit-tag-recursion-and-dynamic-programming"": ""1""}",RU,en
